Model,Epochs,NumConvLayers,Optimizer,LR,Step,WeightDecay,TrainAcc,TestAcc
FlexibleResNet,100,3,AdamW,0.0001,15,0.01,92.426,86.03
FlexibleResNet,100,3,AdamW,0.0001,15,0.3,92.742,85.84
FlexibleResNet,100,3,AdamW,0.0001,5,0.01,73.984,74.63
FlexibleResNet,100,3,AdamW,0.0001,5,0.3,75.43,75.21
FlexibleResNet,100,3,AdamW,0.001,15,0.01,76.296,76.72
FlexibleResNet,100,3,AdamW,0.001,15,0.3,73.964,74.27
FlexibleResNet,100,3,AdamW,0.001,5,0.01,43.314,45.32
FlexibleResNet,100,3,AdamW,0.001,5,0.3,40.146,42.02
FlexibleResNet,100,3,SGD,0.0001,15,0,67.06,65.34
FlexibleResNet,100,3,SGD,0.0001,5,0,55.978,57.48
FlexibleResNet,100,3,SGD,0.001,15,0,68.342,69.92
FlexibleResNet,100,3,SGD,0.001,5,0,47.684,50.47
FlexibleResNet,100,4,Adam,0.0001,15,0.3,95.444,92.44
FlexibleResNet,100,5,Adam,0.0001,15,0.3,92.562,89.56
FlexibleResNet,100,5,Adam,0.0001,5,0,51.652,53.86
FlexibleResNet,100,5,Adam,0.0001,5,0.3,66.212,68.44
FlexibleResNet,100,5,Adam,0.001,15,0,53.22,56.97
FlexibleResNet,100,5,Adam,0.001,15,0.3,93.91,89.77
FlexibleResNet,100,5,Adam,0.001,5,0,31.308,32.91
FlexibleResNet,100,5,Adam,0.001,5,0.3,39.708,41.61
FlexibleResNet,100,5,AdamW,0.0001,5,0.01,57.49,59.22
FlexibleResNet,100,5,AdamW,0.001,15,0.01,46.594,49.25
FlexibleResNet,100,5,AdamW,0.001,15,0.3,55.632,58.43
FlexibleResNet,100,5,AdamW,0.001,5,0.01,28.676,30.1
FlexibleResNet,100,5,AdamW,0.001,5,0.3,30.434,32.16
FlexibleResNet,100,5,SGD,0.001,15,0,71.222,70.53
FlexibleResNet,100,5,SGD,0.001,5,0,42.436,44.49
FlexibleResNet,30,4,Adam,0.0001,15,0.3,90.466,89.94
FlexibleResNet,30,5,Adam,0.0001,15,0.3,85.1,86.16
